pre-2013,orig.position,dummy.random.order,reviewer.uw,link,trail,other.trails,other.trails.mw,year,month,day,author,anon.author,flowerbadge,bugs.summary,snow.summary,num.pics,flower.in.pics ,flowers.in.pics.spp,bugs.sentiment,wildlife.sentiment,crowding.sentiment,trail.condition.sentiment,weather.sentiment,view.sentiment,wildflower.sentiment,overall.report.sentiment,spp.mentioned,wildflower.value.terms,value.terms,flag,flag.comment,flag.resolved.comment,conflictive
no,1,564,Jazzmine,https://www.wta.org/go-hiking/trip-reports/trip_report-2020-06-29-2624571096,skyline loop,no,no,2020,June,19,MichelleRN20,18300,no,No bugs,Trail snow-covered at times - gear and expertise recommended,0,0,NA,NA,NA,NA,2,NA,NA,NA,2.5,NA,NA,too much,,,,yes
no,1,825,Floris,https://www.wta.org/go-hiking/trip-reports/trip_report-2020-06-29-2624571096,skyline loop,no,no,2020,June,19,MichelleRN20,18300,no,No bugs,Trail snow-covered at times - gear and expertise recommended,0,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,too much; unsafe,,,,yes
no,1,,Ruben,https://www.wta.org/go-hiking/trip-reports/trip_report-2020-06-29-2624571096,skyline loop,no,no,2020,June,19,MichelleRN20,18300,no,No bugs,Trail snow-covered at times - gear and expertise recommended,0,0,NA,NA,NA,NA,1.5,NA,NA,NA,1,NA,NA,too much,,,,yes
no,4,208,Jazzmine,https://www.wta.org/go-hiking/trip-reports/trip_report-2020-03-08-6721559272,skyline loop,panorama point snowshoe; alta vista loop; golden gate loop,no,2020,March,8,ngie,18930,no,No bugs,Avalanche danger,4,0,NA,NA,NA,3,2,3,2.5,NA,3,NA,NA,like mad; unfortunately; didn't have clear views; wasn't too bad,,,,no
no,4,268,Floris,https://www.wta.org/go-hiking/trip-reports/trip_report-2020-03-08-6721559272,skyline loop,panorama point snowshoe; alta vista loop; golden gate loop,no,2020,March,8,ngie,18930,no,No bugs,Avalanche danger,4,0,NA,NA,NA,3.5,2,3,2.5,NA,3.5,NA,NA,aggressive; gung-ho; like mad; fair; laughed; pretty good; really good; unfortunately; [not] [...] clear; less punchy; pretty much,,,,no
no,5,496,Jazzmine,https://www.wta.org/go-hiking/trip-reports/trip_report-2020-01-24-4847942992,skyline loop,no,no,2019,December,21,CamBrodz,13350,no,Bugs were not too bad,Snowfields to cross - could be difficult,2,1,uncertain 1,NA,NA,NA,3,5,5,NA,4,NA,NA,gorgeous; incredible; so clear; difficult,flag,unknown species,species id,no
no,5,646,Floris,https://www.wta.org/go-hiking/trip-reports/trip_report-2020-01-24-4847942992,skyline loop,no,no,2019,December,21,CamBrodz,13350,no,Bugs were not too bad,Snowfields to cross - could be difficult,2,1,uncertain 1,NA,NA,3,NA,5,5,NA,4,NA,NA,gorgeous; quiet; incredible; so clear; difficult; difficult,,,,no
no,7,73,Jazzmine,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-11-10.5122406676,skyline loop,no,no,2019,November,8,Erin,14670,no,No bugs,Intermittent snow - not hard to cross,2,0,NA,NA,NA,NA,3,NA,3.5,3,3.5,NA,can't wait to try this loop again during wildflower season,overall better; most picturesque; not much; amazing; sweeping,flag,flower id (might be too small to identify),species id,no
no,7,237,Floris,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-11-10.5122406676,skyline loop,no,no,2019,November,8,Erin,14670,no,No bugs,Intermittent snow - not hard to cross,2,0,NA,NA,NA,NA,3,2.5,4,NA,3.5,NA,NA,happier; fine; well-packed; out of shape; overall better; most picturesque; not much; amazing; sweeping; not thrilled; [not] as bad as expected; minimal; well-marked,,,,no
no,8,616,Jazzmine,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-11-03.3225209907,skyline loop,no,no,2019,November,3,john@moosefish.com,16290,no,No bugs,Intermittent snow - not hard to cross,4,0,NA,NA,NA,4,3,NA,NA,NA,5,NA,NA,surprisingly few; pretty well; perfect,,,,no
no,8,712,Floris,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-11-03.3225209907,skyline loop,no,no,2019,November,3,john@moosefish.com,16290,no,No bugs,Intermittent snow - not hard to cross,4,0,NA,NA,NA,4,3,NA,NA,NA,5,NA,NA,surprisingly few; pretty well; good; perfect,,,,no
no,9,35,Ruben,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-11-02.3306156138,skyline loop,no,no,2019,November,2,Dan0204,13920,no,No bugs,Trail snow-covered at times - gear and expertise recommended,4,0,NA,NA,3,3,3,5,5,NA,4,NA,NA,gorgeous; spectacular; awe struck; beauty; spectacular; super great,,,,no
